"id" "sex" "education" "visibleMino" "yearsInQc" "program" "preTest" "postTest" "salaryPre" "salaryPost" "attitudeFr1" "attitudeFr2" "attitudeFr3" "attitudeFr4"
"38" "p38" "male" 6 "no" 4.1 "immersion" 56 92 33106 39016 5 5 4 5
"39" "p39" "female" 8 "no" 3.8 "immersion" 56 82 29320 35540 4 4 4 4
"40" "p40" "male" 6 "yes" 3.4 "immersion" 48 76 27154 33056 4 5 4 4
"41" "p41" "female" 7 "no" 2.9 "immersion" 28 65 25173 31310 3 2 4 4
"42" "p42" "male" 6 "no" 3.8 "immersion" 47 82 22450 28125 4 4 4 5
"43" "p43" "female" 6 "yes" 4.7 "immersion" 25 65 19651 25684 3 3 3 2
"44" "p44" "male" 7 "no" 4 "immersion" 71 96 32947 38718 5 5 5 5
"45" "p45" "female" 6 "no" 1.2 "immersion" 28 58 22497 29583 3 3 3 2
"46" "p46" "male" 6 "yes" 5.8 "immersion" 43 70 25081 30959 4 2 4 3
"47" "p47" "female" 8 "no" 2.3 "immersion" 51 81 29030 34263 4 3 3 3
"48" "p48" "male" 11 "no" 9.1 "immersion" 48 80 42916 49049 4 5 5 5
"49" "p49" "female" 9 "yes" 7.3 "immersion" 51 85 30942 36856 4 3 4 5
"50" "p50" "male" 12 "no" 4.3 "immersion" 62 86 34167 40748 4 5 4 4
"51" "p51" "female" 14 "no" 4.7 "immersion" 66 95 47912 53843 5 5 6 6
"52" "p52" "male" 12 "yes" 5.9 "immersion" 16 47 36189 41419 2 2 1 1
"53" "p53" "female" 10 "no" 7.2 "immersion" 48 82 43437 49964 4 4 4 3
"54" "p54" "male" 18 "no" 6.3 "immersion" 71 100 46513 52788 5 4 3 6
"55" "p55" "female" 7 "yes" 4.8 "immersion" 44 88 34100 40641 4 4 3 5
"56" "p56" "male" 11 "no" 4.3 "immersion" 91 100 52271 57770 5 5 5 4
"57" "p57" "female" 8 "no" 7 "immersion" 47 76 43987 50047 4 5 4 4
"58" "p58" "male" 6 "yes" 5.7 "immersion" 57 92 28027 34100 5 5 4 6
"59" "p59" "female" 6 "no" 6.6 "immersion" 51 84 26330 32678 4 3 3 3
"60" "p60" "male" 10 "no" 5.2 "immersion" 47 85 36568 43076 4 4 5 4
"61" "p61" "female" 11 "yes" 4.1 "immersion" 42 69 28128 34239 3 3 1 2
"62" "p62" "male" 13 "no" 6.1 "immersion" 57 93 40053 45433 5 7 5 5
"63" "p63" "female" 6 "no" 8.8 "immersion" 57 86 37631 42947 4 4 4 4
"64" "p64" "male" 6 "yes" 1.5 "immersion" 43 82 12784 18607 4 5 5 4
"65" "p65" "female" 7 "no" 0.9 "immersion" 42 73 21415 26661 4 4 3 5
"66" "p66" "male" 12 "no" 2.5 "immersion" 44 76 35184 41530 4 5 4 4
"67" "p67" "female" 6 "yes" 5 "immersion" 62 89 31992 37287 4 4 4 5
"68" "p68" "male" 6 "no" 4.3 "immersion" 70 100 27636 33669 5 5 4 5
"69" "p69" "female" 6 "no" 6.1 "immersion" 53 87 40349 46125 4 2 3 4
"70" "p70" "male" 13 "yes" 1.8 "immersion" 41 73 27476 33652 4 4 6 4
"71" "p71" "female" 6 "no" 3.6 "immersion" 38 73 19674 25868 4 5 5 5
"72" "p72" "male" 9 NA NA "immersion" 39 67 31441 37868 3 3 3 NA
"73" "p73" "female" 9 "yes" 4.1 "immersion" 85 100 30440 37025 5 5 4 5
"74" "p74" "male" 6 "no" 5.2 "immersion" 36 69 34681 40830 3 4 3 4
"75" "p75" "female" 9 "no" 6 "immersion" 45 77 35270 41270 4 5 4 4
"76" "p76" "male" 14 "yes" 3.6 "immersion" 37 69 32932 39512 3 3 4 3
"77" "p77" "female" 11 "no" 3.1 "immersion" 76 100 37614 44292 5 5 4 4
"78" "p78" "male" 17 "no" 1.8 "immersion" 42 74 42965 49405 4 3 4 6
"79" "p79" "female" 6 "yes" 2.8 "immersion" 48 79 21907 28286 4 3 4 4
"80" "p80" "male" 17 "no" 1.1 "immersion" 47 78 41533 46936 4 3 4 3
"81" "p81" "female" 7 "no" 7.7 "immersion" 40 79 43226 49051 4 4 4 4
"82" "p82" "male" 11 "yes" 5 "immersion" 41 71 34815 40883 4 4 4 3
"83" "p83" "female" 14 "no" 3.7 "immersion" 41 68 43872 49887 3 3 3 4
"84" "p84" "male" 15 "no" 3.3 "immersion" 62 86 39658 45301 4 3 3 3
"85" "p85" "female" 8 "yes" 5.7 "immersion" 44 72 27446 33757 4 5 4 4
"86" "p86" "male" 6 "no" 2.5 "immersion" 34 62 31355 36822 3 4 3 3
"87" "p87" NA 6 "no" NA "immersion" NA NA 31973 37729 4 5 4 4
"88" "p88" "male" 8 "yes" 6.3 "immersion" 19 52 39926 45424 3 1 2 3
"89" "p89" "female" 11 "no" 6.2 "immersion" 30 62 30277 35441 3 2 2 4
"90" "p90" "male" 8 "no" 5.3 "immersion" 52 84 27264 32988 4 4 3 3
"91" "p91" "female" 8 "yes" 4.7 "immersion" 79 100 23549 29119 5 5 6 4
"92" "p92" "male" 6 "no" 5.7 "immersion" 50 80 21553 27417 4 3 3 6
"93" "p93" "female" 10 NA NA "immersion" 42 75 46589 52670 4 3 6 NA
"94" "p94" "male" 6 "yes" 4.2 "immersion" 55 91 21219 27445 5 4 6 5
"95" "p95" "female" 9 "no" 1 "immersion" 28 68 21712 27702 3 3 2 3
"96" "p96" "male" 14 "no" 2.2 "immersion" 68 100 38320 43987 5 6 4 5
"97" "p97" "female" 6 "yes" 2.6 "immersion" 84 100 24863 31763 5 4 6 5
"98" "p98" "male" 6 "no" 6.6 "immersion" 62 93 33020 39896 5 5 5 5
"99" "p99" "female" 6 "no" 2.2 "immersion" 47 80 29374 35353 4 3 4 5
"100" "p100" "male" 7 "yes" 5.1 "immersion" 54 87 24435 30230 4 4 5 4
"101" "p101" "female" 6 "no" 4.9 "immersion" 68 100 25529 31007 5 5 6 6
"102" "p102" "male" 6 "no" 8.2 "immersion" 49 80 30165 35335 4 4 5 2
"103" "p103" "female" 7 "yes" 6 "immersion" 73 100 23956 30421 5 6 4 5
"104" "p104" "male" 15 "no" 8.2 "immersion" 67 98 42790 48325 5 4 5 5
"105" "p105" "female" 8 "no" 5.3 "immersion" 52 83 40072 45929 4 5 5 6
"106" "p106" "male" 11 "yes" 6 "immersion" 48 75 38936 45012 4 4 5 5
"107" "p107" "female" 11 "no" 5 "immersion" 0 35 39246 46208 2 2 2 1
"108" "p108" "male" 9 "no" 4.9 "immersion" 68 100 31807 38382 5 5 5 6
"109" "p109" "female" 7 "yes" 6.3 "immersion" 45 73 23377 29244 4 3 5 3
"110" "p110" "male" 11 "no" 4.8 "immersion" 67 93 26332 32265 5 5 5 5
"111" "p111" "female" 9 "no" 4.5 "immersion" 26 58 29128 35670 3 2 2 4
"112" "p112" "male" 14 "yes" 6.1 "immersion" 38 73 34907 40033 4 4 4 3
"113" "p113" "female" 6 "no" 1.5 "immersion" 24 61 30166 36721 3 3 3 3
"114" "p114" "male" 20 "no" 4.9 "immersion" 61 95 55490 61071 5 5 4 5
"115" "p115" "female" 8 "yes" 2.9 "immersion" 60 90 18066 23901 4 5 3 4
"116" "p116" "male" 8 "no" 6.8 "immersion" 41 76 40691 46102 4 4 4 3
"117" "p117" "female" 6 "no" 6.1 "immersion" 55 82 31982 38053 4 5 4 5
"118" "p118" "male" 9 "yes" 3.8 "immersion" 52 82 21417 27824 4 3 4 3
"119" "p119" "female" 6 "no" 3.4 "immersion" 37 77 37803 44329 4 3 3 4
"120" "p120" "male" 9 "no" 7.4 "immersion" 24 51 37612 43232 3 3 4 4
"121" "p121" "female" 11 "yes" 8.1 "immersion" 43 74 35409 40806 4 5 4 6
"122" "p122" "male" 10 "no" 3.7 "immersion" 56 78 32317 37900 4 5 4 4
"123" "p123" "female" 6 "no" 4.7 "immersion" 56 95 26113 32200 5 6 6 6
"124" "p124" "male" 6 "yes" 3.1 "immersion" 46 79 26617 33106 4 4 4 3
"125" "p125" "female" 6 "no" 10 "immersion" 49 80 43812 50018 4 4 5 3
"126" "p126" "male" 7 "no" 2.5 "immersion" 71 100 23593 29727 5 3 6 5
"127" "p127" "female" 6 "yes" 5.9 "immersion" 48 76 33233 39443 4 4 4 4
"128" "p128" "male" 7 "no" 4.5 "immersion" 54 86 43172 48558 4 5 3 3
"129" "p129" "female" 6 "no" 2.3 "immersion" 32 63 21006 27806 3 3 2 4
"130" "p130" "male" 6 "yes" 4.5 "immersion" 45 64 26102 32480 3 5 4 3
"131" "p131" "female" 8 "no" 9 "immersion" 43 80 47509 53983 4 4 4 4
"132" "p132" "male" 6 "no" 4.1 "immersion" 43 81 22784 29350 4 4 3 3
"133" "p133" "female" 7 "yes" 7.5 "immersion" 64 91 24091 30128 5 6 5 6
"134" "p134" "male" 10 "no" 7.4 "immersion" 48 71 42326 48354 4 4 2 5
"135" "p135" "female" 9 "no" 4.8 "immersion" 38 73 28933 34880 4 4 5 5
"136" "p136" "male" 11 "yes" 2.9 "immersion" 54 90 34779 40385 4 3 3 4
"137" "p137" "female" 6 "no" 4.9 "immersion" 62 98 32410 38447 5 4 5 5
"138" "p138" "male" 15 "no" 5.7 "immersion" 61 94 38885 44791 5 4 5 5
"139" "p139" "female" 6 "yes" 1.3 "immersion" 43 69 27794 34413 3 4 2 3
"140" "p140" "male" 6 "no" 6.7 "immersion" 45 81 38116 44440 4 5 3 5
"141" "p141" "female" 7 "no" 7.3 "immersion" 47 86 36425 43111 4 5 4 4
"142" "p142" "male" 11 "yes" 8.1 "immersion" 29 66 31117 36425 3 3 4 3
"143" "p143" "female" 6 "no" 5.9 "immersion" 41 71 28322 34499 4 3 4 3
"144" "p144" "male" 10 "no" 2 "immersion" 23 57 41538 48286 3 3 4 3
"145" "p145" "female" 7 "yes" 7.9 "immersion" 49 76 30425 37643 4 6 5 4
"146" "p146" "male" 6 "no" 2.6 "immersion" 42 71 28719 35487 4 3 4 5
"147" "p147" "female" 14 "no" 9.5 "immersion" 13 39 44064 49658 2 4 1 2
"148" "p148" "male" 6 "yes" 1.1 "immersion" 39 72 17601 24148 4 4 4 4
"149" "p149" "female" 6 "no" 7.5 "immersion" 53 82 37371 43398 4 5 5 5
"150" "p150" "male" 6 "no" 2 "immersion" 53 88 23191 29136 4 4 5 4
"151" "p151" "female" 6 "yes" 1.1 "immersion" 55 93 21813 27322 5 5 6 6
"152" "p152" "male" 12 "no" 1 "immersion" 27 59 35185 42415 3 3 3 4
"153" "p153" "female" 11 "no" 4.8 "immersion" 53 92 32527 39031 5 6 5 5
"154" "p154" "male" 16 "yes" 2 "immersion" 42 82 35336 40361 4 5 4 4
"155" "p155" "female" 14 "no" 4.9 "immersion" 51 83 34748 39702 4 3 4 3
"156" "p156" "male" 7 "no" 1 "immersion" 27 59 22622 28618 3 3 4 4
"157" "p157" "female" 8 "yes" 4.6 "immersion" 32 58 30709 36796 3 4 2 4
"158" "p158" "male" 10 NA NA "immersion" 35 64 42956 48600 3 3 3 NA
"159" "p159" "female" 9 "no" 3.6 "immersion" 82 100 36927 42912 5 5 5 6
"160" "p160" "male" 21 "yes" 9.2 "immersion" 45 83 39153 45202 4 4 4 4
"161" "p161" "female" 7 "no" 4.2 "immersion" 57 91 40195 46114 5 4 6 5
"162" "p162" "male" 9 "no" 5.1 "immersion" 49 83 39754 46235 4 4 4 4
"163" "p163" "female" 6 "yes" 6.2 "immersion" 35 64 24622 29742 3 3 2 3
"164" "p164" "male" 6 "no" 3.3 "immersion" 53 79 30871 37350 4 4 5 4
"165" "p165" "female" 11 "no" 6.1 "immersion" 40 78 41497 46915 4 3 4 4
"166" "p166" "male" 15 "yes" 5.1 "immersion" 47 75 41331 46491 4 3 4 6
"167" "p167" "female" 9 "no" 3.3 "immersion" 17 49 30614 36600 2 2 2 1
"168" "p168" "male" 15 "no" 3.8 "immersion" 42 68 34620 41036 3 3 2 4
"169" "p169" "female" 8 "yes" 8.7 "immersion" 58 88 27137 32579 4 5 4 4
"170" "p170" "male" 14 "no" 6.1 "immersion" 75 100 38174 43234 5 4 4 5
"171" "p171" "female" 9 NA NA "immersion" 69 100 38876 44554 5 5 5 NA
"172" "p172" "male" 6 "yes" 4.1 "immersion" 22 52 24178 29736 3 5 2 2
"173" "p173" "female" 6 "no" 4.6 "immersion" 47 76 35690 42074 4 4 5 4
"174" "p174" "male" 7 "no" 9.8 "immersion" 68 94 43922 50065 5 3 5 4
"175" "p175" "female" 6 "yes" 5.6 "immersion" 46 84 20034 26031 4 3 2 4
"176" "p176" "male" 6 "no" 7.1 "immersion" 23 52 30323 36379 3 3 3 4
"177" "p177" "female" 9 "no" 6.5 "immersion" 42 71 35808 42314 4 4 3 4
"178" "p178" "male" 15 "yes" 5.1 "immersion" 65 99 36408 42176 5 5 5 6
"179" "p179" "female" 11 "no" 6.3 "immersion" 71 100 38889 44928 5 5 6 7
"180" "p180" "male" 8 "no" 3.9 "immersion" 38 64 33743 40115 3 4 4 2
"181" "p181" "female" 8 "yes" 4 "immersion" 48 76 33253 39654 4 4 4 4
"182" "p182" "male" 11 "no" 6.4 "immersion" 49 82 42715 48475 4 4 4 5
"183" "p183" "female" 8 "no" 0.9 "immersion" 51 83 35357 41831 4 4 3 3
"184" "p184" "male" 8 "yes" 5.7 "immersion" 26 52 25546 31583 3 3 4 3
"185" "p185" "female" 12 NA NA "immersion" 48 88 33354 39256 4 3 4 NA
"186" "p186" "male" 13 "no" 6 "immersion" 72 100 61897 68268 5 6 6 5
"187" "p187" "female" 7 "yes" 5 "immersion" 27 61 30578 37016 3 2 3 1
"188" "p188" "male" 9 "no" 4.2 "immersion" 62 95 28714 33985 5 4 6 5
"189" "p189" "female" 8 NA NA "immersion" 33 65 39096 44558 3 5 2 NA
"190" "p190" "male" 17 NA NA "immersion" 68 100 29907 35636 5 4 5 NA
"191" "p191" "female" 6 "no" 6.5 "immersion" 46 74 28991 35585 4 4 3 5
"192" "p192" NA 17 "no" NA "immersion" NA NA 41460 47363 5 4 3 5
"193" "p193" "female" 6 "yes" 2.7 "immersion" 64 100 16729 22668 5 6 6 6
"194" "p194" "male" 10 "no" 3.6 "immersion" 36 63 37811 44144 3 2 3 2
"195" "p195" "female" 10 "no" 6 "immersion" 80 100 37920 44193 5 5 7 5
"196" "p196" "male" 8 "yes" 3.8 "immersion" 29 59 23564 30612 3 3 2 2
"197" "p197" "female" 14 "no" 6.6 "immersion" 65 95 40441 46883 5 4 4 6
"198" "p198" "male" 11 "no" 7.4 "immersion" 64 100 49503 55657 5 4 5 5
"199" "p199" "female" 6 "yes" 5 "immersion" 62 90 24153 29315 4 4 4 3
"200" "p200" "male" 13 "no" 4.7 "immersion" 45 88 42082 48664 4 3 4 3
"201" "p201" "female" 21 "no" 1.7 "instruction" 51 84 34928 38515 4 4 3 3
"202" "p202" "male" 13 "yes" 2.8 "instruction" 60 77 36078 40022 4 5 4 4
"203" "p203" "female" 7 "no" 1.2 "instruction" 51 74 30758 34489 4 3 4 5
"204" "p204" "male" 9 "no" 2.4 "instruction" 42 71 39153 42994 4 4 5 4
"205" "p205" "female" 11 "yes" 3.1 "instruction" 54 78 31744 35901 4 3 3 4
"206" "p206" "male" 6 "no" 6.5 "instruction" 53 85 31974 36124 4 4 3 4
"207" "p207" "female" 6 NA NA "instruction" 41 54 41677 45101 3 3 3 NA
"208" "p208" "male" 9 "yes" 5.7 "instruction" 55 81 25872 29130 4 4 5 3
"209" "p209" "female" 6 "no" 5.7 "instruction" 53 81 36854 41436 4 4 6 5
"210" "p210" "male" 6 "no" 4.3 "instruction" 48 74 41552 45869 4 4 4 5
"211" "p211" "female" 11 "yes" 2.1 "instruction" 64 87 32239 35890 4 5 4 3
"212" "p212" "male" 9 "no" 8 "instruction" 53 75 34282 38585 4 4 2 4
"213" "p213" "female" 13 "no" 4.6 "instruction" 53 74 38410 42561 4 4 5 5
"214" "p214" "male" 13 "yes" 5.8 "instruction" 59 95 37485 41394 5 5 3 5
"215" "p215" "female" 11 "no" 7.9 "instruction" 36 70 39169 43717 4 4 3 4
"216" "p216" "male" 7 "no" 3.9 "instruction" 48 73 24561 29562 4 5 4 5
"217" "p217" "female" 9 "yes" 7.3 "instruction" 71 92 35027 39182 5 4 5 4
"218" "p218" "male" 6 "no" 6.4 "instruction" 53 71 22955 27421 4 3 3 4
"219" "p219" "female" 6 "no" 5.4 "instruction" 80 100 21096 25028 5 5 4 6
"220" "p220" "male" 11 "yes" 4.4 "instruction" 50 74 38332 42847 4 2 3 4
"221" "p221" "female" 11 "no" 7.7 "instruction" 60 83 45596 49790 4 4 5 3
"222" "p222" "male" 6 "no" 4.2 "instruction" 81 100 25489 30012 5 5 4 4
"223" "p223" "female" 6 "yes" 10 "instruction" 46 68 17924 21734 3 4 2 3
"224" "p224" "male" 11 "no" 9.7 "instruction" 37 61 47093 50592 3 5 5 3
"225" "p225" "female" 12 "no" 0 "instruction" 56 86 29301 33481 4 3 3 5
"226" "p226" "male" 14 "yes" 6.4 "instruction" 60 76 32024 36811 4 4 5 4
"227" "p227" "female" 6 "no" 5.2 "instruction" 38 68 30213 33141 3 3 4 3
"228" "p228" "male" 12 NA NA "instruction" 41 57 40337 43830 3 4 3 NA
"229" "p229" NA 17 "yes" NA "instruction" NA NA 42215 45925 3 4 2 2
"230" "p230" "male" 6 "no" 5.6 "instruction" 41 63 30110 34127 3 3 3 4
"231" "p231" "female" 11 "no" 6 "instruction" 32 51 39240 43252 3 4 3 2
"232" "p232" "male" 9 "yes" 7.2 "instruction" 52 80 30456 35138 4 3 4 3
"233" "p233" "female" 9 "no" 5 "instruction" 55 80 35715 40158 4 5 4 4
"234" "p234" "male" 6 "no" 2.6 "instruction" 55 84 36598 40999 4 4 4 4
"235" "p235" "female" 7 "yes" 4.9 "instruction" 32 53 27133 31358 3 3 3 2
"236" "p236" "male" 13 "no" 3.8 "instruction" 28 53 41577 45824 3 4 2 4
"237" "p237" "female" 8 "no" 9.6 "instruction" 62 86 37289 40947 4 4 5 4
"238" "p238" "male" 6 "yes" 7.3 "instruction" 66 92 37843 41893 5 5 5 3
"239" "p239" "female" 9 "no" 3.7 "instruction" 60 84 36160 40537 4 5 4 4
"240" "p240" "male" 8 "no" 4 "instruction" 67 94 37101 40225 5 5 4 5
"241" "p241" "female" 9 "yes" 4.4 "instruction" 27 45 23788 27894 2 2 2 2
"242" "p242" "male" 9 "no" 3.7 "instruction" 42 70 29490 32512 4 4 5 4
"243" "p243" "female" 10 "no" 5.1 "instruction" 66 84 33960 37547 4 4 6 3
"244" "p244" "male" 11 "yes" 8.7 "instruction" 65 91 44439 48501 5 5 5 5
"245" "p245" "female" 8 "no" 3.5 "instruction" 45 64 23847 27706 3 3 4 4
"246" "p246" "male" 10 "no" 2.6 "instruction" 67 95 35014 39062 5 6 4 5
"247" "p247" "female" 8 "yes" 3.6 "instruction" 44 68 28838 32538 3 2 2 4
"248" "p248" "male" 6 "no" 6 "instruction" 48 78 39705 43941 4 4 3 4
"249" "p249" "female" 6 "no" 6.4 "instruction" 46 75 34307 38975 4 3 4 5
"250" "p250" "male" 13 "yes" 3.8 "instruction" 48 76 38238 43167 4 3 3 3
"251" "p251" "female" 6 "no" 5.8 "instruction" 54 78 30120 33848 4 4 4 4
"252" "p252" "male" 10 "no" 3.4 "instruction" 35 56 41299 44554 3 3 3 3
"253" "p253" "female" 6 "yes" 2.8 "instruction" 36 57 11785 16879 3 3 2 4
"254" "p254" "male" 16 "no" 5.2 "instruction" 54 70 49159 53434 4 5 4 4
"255" "p255" "female" 7 "no" 4.4 "instruction" 51 74 34747 38928 4 4 3 4
"256" "p256" "male" 11 "yes" 3.4 "instruction" 51 82 31847 36204 4 4 4 4
"257" "p257" "female" 6 "no" 5.3 "instruction" 29 50 27863 32182 2 3 3 2
"258" "p258" "male" 17 "no" 6.1 "instruction" 26 48 54162 58786 2 2 3 2
"259" "p259" "female" 6 "yes" 7.6 "instruction" 55 85 24842 28375 4 3 6 4
"260" "p260" "male" 10 "no" 4.8 "instruction" 40 63 40067 44203 3 3 2 3
"261" "p261" "female" 10 "no" 3.2 "instruction" 46 65 40451 43872 3 4 4 2
"262" "p262" "male" 12 "yes" 3.7 "instruction" 46 69 30019 34015 3 4 3 3
"263" "p263" "female" 11 "no" 6.6 "instruction" 67 97 44990 49648 5 4 6 5
"264" "p264" "male" 16 "no" 2.4 "instruction" 38 66 47512 51526 3 3 2 3
"265" "p265" "female" 8 "yes" 2.7 "instruction" 42 69 34105 38656 3 2 4 3
"266" "p266" "male" 18 "no" 4.9 "instruction" 50 84 46654 51233 4 4 4 4
"267" "p267" "female" 13 "no" 5.7 "instruction" 70 91 43433 47267 5 6 6 5
"268" "p268" "male" 6 "yes" 5.4 "instruction" 34 58 29899 34818 3 3 2 2
"269" "p269" "female" 14 NA NA "instruction" 62 88 39173 43241 4 3 4 NA
"270" "p270" "male" 13 "no" 6.6 "instruction" 62 87 40399 44667 4 5 4 5
"271" "p271" "female" 15 "yes" 4.9 "instruction" 60 89 32699 37086 4 4 4 4
"272" "p272" "male" 18 "no" 8.7 "instruction" 82 100 53134 57751 5 5 4 6
"273" "p273" "female" 6 "no" 6.1 "instruction" 46 67 32382 36521 3 3 4 4
"274" "p274" "male" 6 "yes" 6.3 "instruction" 35 61 29165 33414 3 2 3 1
"275" "p275" "female" 9 "no" 3 "instruction" 57 67 20334 24646 3 2 3 3
"276" "p276" "male" 6 "no" 4.1 "instruction" 39 64 32541 37721 3 3 3 4
"277" "p277" "female" 6 "yes" 2.8 "instruction" 51 79 28511 32319 4 6 5 4
"278" "p278" "male" 6 "no" 5.7 "instruction" 15 43 19098 23106 2 2 2 2
"279" "p279" "female" 6 "no" 5 "instruction" 28 48 31539 35574 2 0 2 2
"280" "p280" "male" 6 "yes" 2.4 "instruction" 56 72 28449 31833 4 5 4 4
"281" "p281" "female" 6 "no" 4.3 "instruction" 54 79 32174 35458 4 2 5 3
"282" "p282" "male" 23 "no" 5.8 "instruction" 51 73 49615 54770 4 4 4 3
"283" "p283" "female" 8 "yes" 5.3 "instruction" 46 64 29221 33782 3 3 2 3
"284" "p284" "male" 9 NA NA "instruction" 44 63 28057 31626 3 3 4 NA
"285" "p285" "female" 8 "no" 1.1 "instruction" 79 100 24105 27235 5 5 5 3
"286" "p286" "male" 10 "yes" 9 "instruction" 57 90 25911 29250 4 5 4 5
"287" "p287" "female" 6 "no" 5.6 "instruction" 51 67 28594 32807 3 2 4 4
"288" "p288" "male" 13 "no" 7.5 "instruction" 64 89 44162 48643 4 4 3 4
"289" "p289" "female" 11 "yes" 6 "instruction" 53 75 31689 36185 4 4 3 4
"290" "p290" "male" 23 "no" 6.3 "instruction" 39 67 47188 50696 3 2 3 3
"291" "p291" "female" 10 "no" 3.5 "instruction" 25 51 21833 25604 3 4 3 3
"292" "p292" "male" 6 "yes" 7.9 "instruction" 68 100 33325 37920 5 6 5 3
"293" "p293" "female" 14 "no" 1.1 "instruction" 66 92 34446 38237 5 4 5 6
"294" "p294" "male" 6 "no" 3.4 "instruction" 62 85 39040 43529 4 4 4 5
"295" "p295" "female" 9 "yes" 4.4 "instruction" 39 63 27138 30991 3 3 4 2
"296" "p296" "male" 9 "no" 4.3 "instruction" 72 93 30911 35624 5 4 5 5
"297" "p297" "female" 13 "no" 8.1 "instruction" 49 72 40005 43543 4 3 4 5
"298" "p298" "male" 6 NA NA "instruction" 65 87 33893 37231 4 5 5 NA
"299" "p299" "female" 14 "no" 7.4 "instruction" 65 87 41227 45372 4 2 4 5
"300" "p300" "male" 7 "no" 5.2 "instruction" 50 71 34289 37955 4 4 3 3
"301" "p301" "female" 10 "yes" 6.4 "instruction" 34 47 33153 36853 2 1 1 3
"302" "p302" "male" 10 "no" 5.9 "instruction" 30 62 39218 42901 3 4 3 3
"303" "p303" "female" 10 "no" 3.4 "instruction" 42 73 38788 42720 4 4 4 4
"304" "p304" "male" 16 NA NA "instruction" 72 97 28430 32033 5 5 4 NA
"305" "p305" "female" 13 "no" 4.3 "instruction" 46 65 40177 43546 3 2 3 3
"306" "p306" "male" 8 "no" 2.8 "instruction" 58 85 35261 39243 4 4 5 5
"307" "p307" "female" 10 "yes" 6 "instruction" 50 74 30898 35391 4 4 4 5
